"","simLabel","scenario","mp","species","stock","projObsErrMult","nGoodReps","medProbPDH_sp","pGoodReps","pBtGt.3B0","pBtGt.5B0","pBtGt.6B0","pCtGt650t","pUtGt.1HR","avgUtGt0.1HR","nYrsSOK","avgLicSOK","avgSOK_t","avgPonded_t","pondAAV","nYrsComm","avgCatch_t","catchAAV","pBtGtHistSB","pBtGt.5HistSB","growthRate6yrs","growthRate11yrs","growthRate16yrs","B0","BtMP","DtMP","BhistT","DhistT","BnT","DnT"
"1143","sim_parBatHGherringGrid356","a1M1.64_sr0.8_diffM_rw5_hiPondM","cSOK_HS30-100_HR0.1","HG Herring","Lou",1,100,0,1,0.667,0.331,0.214,NA,0.003,0.13,7,1,7.3,106.6,100.8,0,0,0,0.054,0.275,0.029,0.017,0.017,4.842,2.382,0.479,1.902,0.383,2.32,0.475
"1144","sim_parBatHGherringGrid356","a1M1.64_sr0.8_diffM_rw5_hiPondM","cSOK_HS30-100_HR0.1","HG Herring","aggregate",1,100,0,1,0.327,0.056,0.025,0,0.002,0.14,13,6.1,44.1,644,69.5,0,0,0,0.001,0.049,0.088,0.069,0.048,63.29,11.329,0.179,10.398,0.164,19.828,0.315
"1145","sim_parBatHGherringGrid357","a1M1.64_sr0.8_diffM_rw5_hiPondM","SR_HS30-100_HR0.1","HG Herring","C/S",1,100,0,1,0.348,0.121,0.069,NA,0,NA,0,0,0,0,0,0,0,0,0.027,0.156,0.16,0.126,0.081,8.518,1.452,0.163,1.202,0.133,2.927,0.338
"1146","sim_parBatHGherringGrid357","a1M1.64_sr0.8_diffM_rw5_hiPondM","SR_HS30-100_HR0.1","HG Herring","JP/S",1,100,0,1,0.218,0.047,0.021,NA,0.249,0.18,0,0,0,0,0,8,1417.1,110.2,0.001,0.039,0.072,0.068,0.043,49.929,7.366,0.149,7.294,0.146,13.103,0.265
"1147","sim_parBatHGherringGrid357","a1M1.64_sr0.8_diffM_rw5_hiPondM","SR_HS30-100_HR0.1","HG Herring","Lou",1,100,0,1,0.69,0.35,0.237,NA,0,NA,0,0,0,0,0,0,0,0,0.059,0.291,0.037,0.023,0.019,4.842,2.382,0.479,1.902,0.383,2.405,0.492
"1148","sim_parBatHGherringGrid357","a1M1.64_sr0.8_diffM_rw5_hiPondM","SR_HS30-100_HR0.1","HG Herring","aggregate",1,100,0,1,0.271,0.04,0.017,0.35,0.157,0.15,0,0,0,0,0,8,1417.1,110.2,0.001,0.037,0.082,0.062,0.041,63.29,11.2,0.177,10.398,0.164,18.435,0.294
"1149","sim_parBatHGherringGrid358","a1M1.64_sr0.8_diffM_rw5_hiPondM","cSOK+SR_HS30-100_HR0.1","HG Herring","C/S",1,100,0,1,0.333,0.111,0.066,NA,0,NA,4,1,7.3,105.7,100.1,0,0,0,0.027,0.152,0.157,0.124,0.08,8.518,1.452,0.163,1.202,0.133,2.861,0.331
"1150","sim_parBatHGherringGrid358","a1M1.64_sr0.8_diffM_rw5_hiPondM","cSOK+SR_HS30-100_HR0.1","HG Herring","JP/S",1,100,0,1,0.225,0.049,0.023,NA,0.201,0.17,10,6.7,48.4,705.9,83.3,3.5,1408,140.9,0.001,0.042,0.073,0.07,0.045,49.929,7.495,0.151,7.294,0.146,13.279,0.269
"1151","sim_parBatHGherringGrid358","a1M1.64_sr0.8_diffM_rw5_hiPondM","cSOK+SR_HS30-100_HR0.1","HG Herring","Lou",1,100,0,1,0.667,0.331,0.214,NA,0.003,0.13,7,1,7.3,106.6,100.8,0,0,0,0.054,0.275,0.029,0.017,0.017,4.842,2.382,0.479,1.902,0.383,2.32,0.475
"1152","sim_parBatHGherringGrid358","a1M1.64_sr0.8_diffM_rw5_hiPondM","cSOK+SR_HS30-100_HR0.1","HG Herring","aggregate",1,100,0,1,0.272,0.041,0.017,0.21,0.129,0.15,13,5.9,42.6,620.5,69.7,3.5,1408,140.9,0.001,0.037,0.08,0.062,0.041,63.29,11.329,0.179,10.398,0.164,18.46,0.294
"1153","sim_parBatHGherringGrid359","a1M1.64_sr0.8_diffM_rw5_hiPondM","oSOK_HS30-100_HR0.1","HG Herring","C/S",1,100,0,1,0.345,0.12,0.069,NA,0,NA,6,1,7.3,105.9,76.8,0,0,0,0.027,0.155,0.159,0.125,0.08,8.518,1.452,0.163,1.202,0.133,2.911,0.336
"1154","sim_parBatHGherringGrid359","a1M1.64_sr0.8_diffM_rw5_hiPondM","oSOK_HS30-100_HR0.1","HG Herring","JP/S",1,100,0,1,0.313,0.075,0.036,NA,0,NA,10,8,57.7,840,71.1,0,0,0,0.003,0.077,0.087,0.084,0.061,49.929,7.934,0.16,7.294,0.146,15.401,0.31
