"","simLabel","scenario","mp","species","stock","projObsErrMult","nGoodReps","medProbPDH_sp","pGoodReps","pBtGt.3B0","pBtGt.5B0","pBtGt.6B0","pBtGtB0","pCtGt650t","pUtGt.1HR","avgUtGt0.1HR","nYrsSOK","avgLicSOK","avgSOK_t","avgPonded_t","pondAAV","nYrsComm","avgCatch_t","catchAAV","pBtGtHistSB","pBtGt.5HistSB","growthRate6yrs","growthRate11yrs","growthRate16yrs","B0","B7585","BtMP","DtMP","BhistT","DhistT","BnT","DnT"
"398","sim_parBatHGHerringGrid_Nov3_189","a1M1.25_sr0.67_identM_rw15_hiPondM","oSOK_HS30-100_HR0.1","HG Herring","JP/S",1,100,0,1,0.304,0.109,0.052,0.011,NA,0.036,0.12,3,6.5,47,684.2,125.2,0,0,0,0.002,0.036,0.033,0.051,0.041,35.934,55.18,7.483,0.208,6.941,0.193,12.795,0.353
"399","sim_parBatHGHerringGrid_Nov3_189","a1M1.25_sr0.67_identM_rw15_hiPondM","oSOK_HS30-100_HR0.1","HG Herring","Lou",1,100,0,1,0.426,0.155,0.091,0.019,NA,0.033,0.12,3,1,7.3,106,115.6,0,0,0,0.019,0.121,0.063,0.042,0.058,4.094,5.069,1.033,0.244,0.823,0.197,1.813,0.439
"400","sim_parBatHGHerringGrid_Nov3_189","a1M1.25_sr0.67_identM_rw15_hiPondM","oSOK_HS30-100_HR0.1","HG Herring","aggregate",1,100,0,1,0.369,0.093,0.045,0.005,0,0.011,0.11,8,3.6,25.8,373.9,118.4,0,0,0,0.001,0.033,0.039,0.05,0.049,47.459,69.052,10.468,0.22,9.351,0.196,17.923,0.376
"401","sim_parBatHGHerringGrid_Nov3_19","a1Mmean_sr0.5_identM_rw15_loPondM","oSOK_HS30-100_HR0.1","HG Herring","C/S",1,100,0,1,0.591,0.339,0.264,0.088,NA,0.001,0.11,2,1,7.3,105.3,100.2,0,0,0,0.016,0.105,0.029,0.036,0.047,4.169,8.805,1.559,0.373,1.336,0.322,2.627,0.635
"402","sim_parBatHGHerringGrid_Nov3_19","a1Mmean_sr0.5_identM_rw15_loPondM","oSOK_HS30-100_HR0.1","HG Herring","JP/S",1,100,0,1,0.657,0.341,0.243,0.062,NA,0.028,0.12,2,6.2,44.8,652.7,127.1,0,0,0,0,0.025,0.004,0.044,0.042,18.86,53.998,6.936,0.374,6.676,0.361,11.547,0.617
"403","sim_parBatHGHerringGrid_Nov3_19","a1Mmean_sr0.5_identM_rw15_loPondM","oSOK_HS30-100_HR0.1","HG Herring","Lou",1,100,0,1,0.756,0.526,0.427,0.199,NA,0.029,0.12,2,1,7.3,105.9,107.7,0,0,0,0.016,0.131,0.039,0.04,0.052,1.955,4.914,1.023,0.52,0.817,0.42,1.74,0.893
"404","sim_parBatHGHerringGrid_Nov3_19","a1Mmean_sr0.5_identM_rw15_loPondM","oSOK_HS30-100_HR0.1","HG Herring","aggregate",1,100,0,1,0.749,0.379,0.259,0.041,0,0.013,0.12,7,3.1,22.6,328.1,119.5,0,0,0,0,0.019,0.032,0.045,0.045,24.984,67.718,9.518,0.383,8.829,0.357,15.914,0.639
"405","sim_parBatHGHerringGrid_Nov3_190","a1M1.25_sr0.67_identM_rw15_hiPondM","NoFish","HG Herring","C/S",1,100,0,1,0.445,0.189,0.124,0.023,NA,0,NA,0,0,0,0,0,0,0,0,0.022,0.161,0.051,0.052,0.047,7.431,8.802,1.952,0.262,1.588,0.21,3.327,0.442
"406","sim_parBatHGHerringGrid_Nov3_190","a1M1.25_sr0.67_identM_rw15_hiPondM","NoFish","HG Herring","JP/S",1,100,0,1,0.304,0.111,0.053,0.011,NA,0,NA,0,0,0,0,0,0,0,0,0.002,0.037,0.033,0.052,0.042,35.934,55.18,7.483,0.208,6.941,0.193,12.892,0.356
"407","sim_parBatHGHerringGrid_Nov3_190","a1M1.25_sr0.67_identM_rw15_hiPondM","NoFish","HG Herring","Lou",1,100,0,1,0.429,0.157,0.092,0.019,NA,0,NA,0,0,0,0,0,0,0,0,0.019,0.123,0.065,0.042,0.059,4.094,5.069,1.033,0.244,0.823,0.197,1.825,0.442
