"","Year","SurfaceWt","SSB","SSBdep","spawnIdx","scaledIdx","Catch","HR","SurplusProd","perCapSurplusProd"
"52",2002,NA,3.29389860530712,0.189957011092396,1.29416747579938,1.29819129725698,0.857344151020158,0.206527105579023,5.88035703718631,1.78522709463852
"53",2003,0.439008412926127,8.31691149147328,0.479630929104741,6.21911835766898,9.48020851855956,0.207926246114132,0.0243906397417221,-2.9629067364923,-0.356250843781367
"54",2004,0.314221838689403,5.14607850886684,0.296771033211575,3.27368309309907,4.34805539923645,0.193651651344214,0.0362661867798502,2.02174228998345,0.392870471466754
"55",2005,0.186683432410334,6.97416914750608,0.402195842937775,2.31916680947545,2.72221564865194,NA,NA,-1.99459022991599,-0.285996824529162
"56",2006,1,4.97957891759009,0.287169109018741,2.97397954793663,13.4934854602093,NA,NA,4.17019153353992,0.837458669207741
"57",2007,0.95453060971369,9.14977045113,0.527661368895149,7.78192873528493,30.432861189043,NA,NA,-3.02645908317902,-0.330768853638864
"58",2008,NA,6.12331136795098,0.353127422796187,3.1657567124945,3.17559967333804,NA,NA,3.706884175172,0.605372477802386
"59",2009,0.223335435127737,9.83019554312298,0.566901045714286,8.75265982248866,10.628859376215,NA,NA,-2.61032942814741,-0.265541963707278
"60",2010,0.0407834244300036,7.21986611497557,0.416365028807605,4.48524948423474,4.64680909386754,NA,NA,1.48323539237283,0.205438074439674
"61",2011,0.00020464761118511,8.70310150734841,0.501902258589859,5.65494800207177,5.6734347100791,NA,NA,-0.719494685109634,-0.0826710666883677
"62",2012,0.180799000277553,7.98360682223877,0.460409463498934,7.98418810167072,9.32176713844982,NA,NA,11.6375980469877,1.45768677066743
"63",2013,0.0945912717119141,19.6212048692265,1.13154224753142,13.838302305382,14.9854313221371,NA,NA,-6.83346523355007,-0.348269399310312
"64",2014,NA,12.7877396356764,0.73746070868941,9.85167473333371,9.88230552952242,NA,NA,-4.44386860299148,-0.347510094011734
"65",2015,NA,8.3438710326849,0.481185668482793,12.3098616133856,12.3481353965136,NA,NA,-2.99004006031556,-0.358351662987464
"66",2016,0.0256102028713204,5.35383097236934,0.30875198397625,6.46648444075297,6.61861912234496,NA,NA,0.0658252581056367,0.01229498249858
"67",2017,0.105795085266382,5.41965623047498,0.31254808421564,2.96208463475363,3.23813347205927,NA,NA,1.10906490714135,0.204637500973775
"68",2018,NA,6.52872113761633,0.376507143103669,3.51567264280396,3.52660356116078,NA,NA,0.769249893747821,0.117825509396574
"69",2019,0.029091701014112,7.29797103136415,0.420869289031308,10.6818674984664,10.963511843217,NA,NA,NA,NA
